;Con;Contp;PP;Reg;AgtId;Agt;Dat;Status;Lgt;N_characters;Agtp;Stage;StageSub;ThrdPart;OthAgr;Loc1ISO;Loc2ISO;UcdpCon;UcdpAgr;CowWar;GeWom;GeMe;GeMeOth;GeSo;GeLgbti;GeFa;HrGen;EqGen;HrDem;Prot;HrFra;HrCp;HrNi;HrMob;HrMob;HrDet;Med;HrCit
0;Afghanistan;Government;2.0;Europe and Eurasia;1739;Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ;2016-09-22;Multiparty signed/agreed;4;10203;Intra;SubPar;MultIss;;;AFG;;333;1488.0;851.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;Afghanistan;Government;2.0;Europe and Eurasia;1923;Agreement between the two campaign teams regarding the structure of the national unity government;2014-09-21;Multiparty signed/agreed;4;11110;Intra;Imp;ExtSub;"The foregoing signatures were witnessed by:
H.E. Jan Kubis, Special Representative of the Secretary General of the United Nations
H.E. James B. Cunningham, Ambassador of the United States of America";"Page 3, D. Creation of the position of leader of the runner-up team
In line with the Joint Declaration of 17 Asad 1393 (August 8, 2014) and its annex, and with the goal of strengthening and expanding democracy, the position of the leader of the runner-up team, referred to in the mentioned document as the opposition leader, will be created and officially recognized within the framework of the government of the Islamic Republic of Afghanistan on the basis of a presidential decree.

Page 4, G. Entry-into-force
Honoring their commitments to the Technical and Political Frameworks of July 12, 2014, and the Joint Declaration of August 8, 2014, as reflected throughout this agreement, the parties reaffirm their commitment regarding the outcome of the election and implementation of this agreement to establish the national unity government, which will enter into force upon signing by the two candidates in the presence of Afghan and international witnesses.";AFG;;333;;225.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2;Afghanistan;Government;2.0;Europe and Eurasia;864;Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference);2012-07-08;Multiparty signed/agreed;14;39746;InterIntra;Imp;ExtSub;"Ambassador Kazuo Kodama, Chargé d’affaires ad interim Permanent Mission of Japan to the United Nations
";"Page 2, Preamble, 1
...
These undertakings are built on the  outcome of the  Bonn Conference in December 2011, where the Afghan Government and the International Community mutually renewed their long-term commitments in the areas of governance, security, peace process, economic and social development, and regional cooperation, as well as on the outcomes of the previous international conferences such as the London Conference in January 2010 and the Kabul Conference in July 2010. 

Page 3, Preamble, 4
...
Today in Tokyo, the Afghan Government and the International Community succeeded in transforming their mutual commitments made in Bonn to cooperate throughout the Transformation Decade into a solid and credible framework focused on the priorities of the Afghan Government as contained in its strategy paper Towards Self-Reliance. 

Page 4, Security and Peace Process, 9
...
The Participants reaffirmed the importance of the peace and reconciliation process with a view to ending the ongoing violence in the country and restoring lasting peace and security as per the UN Security Council Resolutions and as stated in the London and Kabul Communiqués, and reconfirmed in the Bonn Conclusions. 

Page 5, Governance and Strategy for Economic Self-Reliance, 14
...
The International Community welcomed the Afghan strategy, and reaffirmed its commitment of aligning 80 percent of aid with the NPPs and channeling at least 50 percent of its development assistance through the national budget of the Afghan Government in accordance with the London and Kabul Communiqués. 

Page 7, Regional Cooperation, 19
...
The Participants welcomed the conclusion of the Afghanistan-Pakistan Transit Trade Agreement (APTTA), the transit agreement between Afghanistan and Tajikistan, and the Agreement on Cross-Border Transport of Persons, Vehicles, and Goods (CBTA) among Afghanistan, the Kyrgyz Republic and Tajikistan within the framework of CAREC.

Page 9, Tokyo Mutual Accountability Framework, 2
...
this accountability framework concretizes the mutual commitments decided in the Kabul Process and reaffirmed at the Bonn Conference by stipulating shared development and governance goals and a mechanism as described in this document to hold parties accountable for achieving them. ";AFG;;333;;225.0;1;1;0;0;0;0;1;1;2;1;3;0;1;0;0;0;1;0
3;Afghanistan;Government;2.0;Europe and Eurasia;848;Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference);2011-12-05;Multiparty signed/agreed;7;24106;InterIntra;Pre;Prin;;"Page 1, 5
...
Reaffirming our commitments as set out in the 2010 London Communiqué and the Kabul Process, this  renewed partnership between Afghanistan and the International Community entails firm mutual commitments in the areas of governance, security, the peace process, economic and social development, and regional cooperation.

Page 2, Governance, 8
...
We will move this agenda forward, in accordance with our commitments under the Kabul Process in line with the principle of mutual accountability.";AFG;;333;;225.0;1;1;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;2
4;Afghanistan;Government;2.0;Europe and Eurasia;849;Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan;2011-11-02;Multiparty signed/agreed;10;21299;InterIntra;Imp;ExtSub;Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ;"Page 1, 2
We affirm the commitments enshrined in the 2002 Kabul Declaration of Good Neighbourly Relations and agree that promoting regional security and cooperation requires measures to build confidence and trust among countries";AFG;;333;;225.0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0
5;Afghanistan;Government;2.0;Europe and Eurasia;709;Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique);2010-07-22;Multiparty signed/agreed;9;33137;InterIntra;Imp;ExtSub;;"Page 2, Principles of Effective Partnership, 8
...
In line with the London Conference Communiqué , restated their strong support for channeling at least 50% of development aid through the Afghan Government’s core budget within two years while, as committed at the London Conference, the Afghan Government achieves the necessary reforms to strengthen its public financial  management  systems, reduce corruption, improve budget execution, and increase revenue collection to finance key National Priority Programmes

Page 3, Governance, Rule of Law, and Human Rights, 9
...
Building on the London Conference commitments, the Government of Afghanistan, with the support of its international partners, pledged to...

Page 7, Regional Cooperation, 21
...
Participants re-affirmed their support for the objectives and principles laid out in the Kabul Declaration of 2002 on Good Neighborly Relations
...
Participants further recognized the need for greater regional coordination and extended their support to the inclusive vision set out in the Istanbul Statement on Friendship and Cooperation in the “Heart of Asia” of January 2010, which offers regionally-owned measures for enhanced regional cooperation

Page 7, Regional Cooperation, 23
Participants welcomed the conclusion of the Afghanistan-Pakistan Trade and Transit Agreement (APTTA), and look forward to its successful implementation 

Page 8, Regional Cooperation, 24
Participants underlined the importance of:
...
Integrated regional infrastructure projects, including transport; and encouraged both multilateral organisations and bilateral partners to promote such projects, including those presented in the Regional Cooperation Concept Paper submitted to the Kabul Conference";AFG;;333;;225.0;1;1;0;0;0;0;1;1;0;2;1;0;1;0;0;0;0;2
6;Afghanistan;Government;2.0;Europe and Eurasia;708;The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga;2010-06-06;Multiparty signed/agreed;4;9289;Intra;Pre;PreMix;;;AFG;;333;;225.0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1
7;Afghanistan;Government;2.0;Europe and Eurasia;707;Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique);2010-01-28;Multiparty signed/agreed;7;27077;InterIntra;Imp;ExtSub;;"Page 1, Afghan Leadership, Regional Cooperation, International Partnership, Article 3
The international community pledged to maintain its long-term commitment to Afghanistan, as previously set out in the 2001 Bonn Agreement, in the 2002 Tokyo Conference, the 2006 Afghanistan Compact, the 2008 Paris Declaration and the 2009 The Hague Conference Declaration. The international community re-affirmed its support for the relevant UN Security Council Resolutions upholding the security, stability and prosperity of Afghanistan and in particular the role of the UN itself in achieving this goal.

Page 5, Development and governance, 24
Conference Participants committed to helping the Government of Afghanistan’s anti-corruption efforts by providing assistance to the new institutions and committed to increase the transparency and effectiveness of its own aid in line with the June 2008 Paris Conference Declaration and the United Nations Convention Against Corruption.

Page 5, Development and governance, 27
...
Conference Participants therefore welcomed:
...
the contribution to multilateral anti-narcotics efforts by the Plan of Action of the Shanghai Cooperation Organisation Members, adopted in March 2009 by the Special Conference on Afghanistan in Moscow.

Page 6, Regional cooperation/international architecture, 28
...
This regional co-operation includes reaffirming the principles of the Good Neighbourly Relations Declaration of 2002";AFG;;333;;225.0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;2
8;Afghanistan;Government;2.0;Europe and Eurasia;706;Statement of the International Conference on Afghanistan (Hague Conference);2009-03-31;Multiparty signed/agreed;4;9555;InterIntra;SubPar;MultIss;"Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ";"Page 1, Untitled Preamble 
...
They also pledged to improve aid effectiveness, in line with the June 2008 Paris Declaration.

Page 4, Expand Regional Cooperation
...
They reaffirmed their determination to fulfil the vision of a democratic, peaceful, pluralistic and prosperous state based on the Afghan Constitution and the principles of Islam, as set out in the Bonn Agreement of 2001, in the Afghanistan Compact of 2006 and in the Paris Declaration of 2008.";AFG;;333;;225.0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
9;Afghanistan;Government;2.0;Europe and Eurasia;847;Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration);2009-03-27;Multiparty signed/agreed;3;5677;InterIntra;Imp;ExtSub;;"Page 2, Paragraph 1
Were encouraged by growing dialogue between the governments of Afghanistan and Pakistan aimed at strengthening of mutual trust, as well as by the Joint Declaration on Directions of Bilateral Cooperation, signed on January 6, 2009 in Kabul ";AFG;;333;;225.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
